Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,10000,10000,0.07,0.07,20000,3558,10.338392355255762,4.447885707361399
2,10000,10000,0.05,0.09,20000,3596,10.555895439377085,4.398437104418545
5,10000,10000,0.04,0.18,20000,3599,10.509585996110031,4.431035978778446
10,10000,10000,0.05,0.25,20000,3598,10.502223457476376,4.3549581958384795
20,10000,10000,0.06,0.37,20000,3525,10.46127659574468,4.493151689430659
30,10000,10000,0.05,0.34,20000,3574,10.558757694459988,4.475300279313796
40,10000,10000,0.04,0.27,20000,3513,10.595217762596072,4.439302095127437
50,10000,10000,0.04,0.28,20000,3543,10.543042619249224,4.429547177637589
60,10000,10000,0.04,0.28,20000,3657,10.432868471424666,4.40017434287998
70,10000,10000,0.04,0.27,20000,3576,10.559843400447427,4.422042483256066
80,10000,10000,0.04,0.28,20000,3529,10.458486823462737,4.432031684510491
90,10000,10000,0.04,0.26,20000,3561,10.450716090985678,4.450527069971917
100,10000,10000,0.04,0.26,20000,3617,10.526956040917888,4.432308654323745
110,10000,10000,0.04,0.27,20000,3564,10.552749719416386,4.440553902331821
120,10000,10000,0.04,0.28,20000,3545,10.52552891396333,4.4657569597817615
130,10000,10000,0.05,0.27,20000,3468,10.486159169550174,4.4550226591576205
140,10000,10000,0.04,0.27,20000,3586,10.453708867819298,4.492200452066931
150,10000,10000,0.04,0.27,20000,3517,10.485641171452944,4.483268252119872
160,10000,10000,0.04,0.28,20000,3576,10.442393736017896,4.386314798686973
170,10000,10000,0.04,0.27,20000,3538,10.44064443188242,4.427917809725565
180,10000,10000,0.05,0.27,20000,3531,10.588785046728972,4.4496209179927515
190,10000,10000,0.04,0.27,20000,3522,10.580068143100512,4.3957171322098505
200,10000,10000,0.05,0.27,20000,3592,10.412583518930958,4.371006192360289
210,10000,10000,0.05,0.27,20000,3507,10.54719133162247,4.3861961240752105
220,10000,10000,0.06,0.37,20000,3556,10.5070303712036,4.474237058401525
230,10000,10000,0.05,0.28,20000,3591,10.602060707323865,4.329607364481846
240,10000,10000,0.05,0.26,20000,3470,10.6657060518732,4.407671024142926
250,10000,10000,0.05,0.26,20000,3602,10.395613548028873,4.441143713322318
260,10000,10000,0.06,0.33,20000,3496,10.495137299771168,4.455210812745842
270,10000,10000,0.06,0.24,20000,3535,10.613295615275813,4.431148911420021
280,10000,10000,0.06,0.29,20000,3509,10.511826731262468,4.377717731888936
290,10000,10000,0.07,0.39,20000,3470,10.436599423631124,4.436137660846238
300,10000,10000,0.08,0.41,20000,3565,10.488078541374474,4.394119863698028
310,10000,10000,0.06,0.25,20000,3597,10.53433416736169,4.4714832979506625
320,10000,10000,0.05,0.25,20000,3519,10.515487354362035,4.417936782890859
330,10000,10000,0.08,0.36,20000,3497,10.371747211895912,4.444892957674847
340,10000,10000,0.06,0.25,20000,3480,10.564080459770114,4.484193761743939
350,10000,10000,0.06,0.25,20000,3507,10.535215283718278,4.425990270894749
360,10000,10000,0.06,0.26,20000,3449,10.600463902580458,4.373891614909762
370,10000,10000,0.07,0.32,20000,3575,10.506013986013986,4.376631383401228
380,10000,10000,0.06,0.25,20000,3568,10.42432735426009,4.477635556966033
390,10000,10000,0.06,0.25,20000,3528,10.552721088435375,4.41368704880308
400,10000,10000,0.09,0.42,20000,3622,10.586140254003313,4.448751542869363
410,10000,10000,0.09,0.38,20000,3509,10.495012824166428,4.422690879914261
420,10000,10000,0.07,0.30,20000,3486,10.511474469305794,4.392671640139454
430,10000,10000,0.09,0.39,20000,3550,10.345915492957747,4.417274926072949
440,10000,10000,0.11,0.51,20000,3476,10.382336018411968,4.3972154508624826
450,10000,10000,0.11,0.48,20000,3532,10.461211778029446,4.427383380158021
460,10000,10000,0.09,0.40,20000,3526,10.427396483267158,4.402543220506778
470,10000,10000,0.09,0.41,20000,3523,10.601476014760147,4.408012177674251
480,10000,10000,0.08,0.37,20000,3456,10.51388888888889,4.416890791535509
490,10000,10000,0.06,0.26,20000,3531,10.316907391673746,4.392640659422231
500,10000,10000,0.08,0.33,20000,3572,10.58286674132139,4.440038026526407
1,100000,100000,0.79,0.79,200000,35771,10.502753627239944,4.402436864165238
2,100000,100000,0.52,1.04,200000,35576,10.522487069934787,4.416076203244416
5,100000,100000,0.42,1.84,200000,35718,10.538495996416373,4.4088849606081455
10,100000,100000,0.46,2.75,200000,35637,10.494682492914666,4.428147761885213
20,100000,100000,0.41,2.60,200000,35644,10.51074514644821,4.4019137828418256
30,100000,100000,0.44,2.96,200000,35540,10.478390545863816,4.4216621410853545
40,100000,100000,0.40,2.63,200000,35766,10.454677626796398,4.418932972188537
50,100000,100000,0.40,2.83,200000,35724,10.494569477102228,4.412314606017469
60,100000,100000,0.40,2.57,200000,35510,10.514446634750774,4.4104837254303195
70,100000,100000,0.40,2.69,200000,35688,10.514991033400582,4.415421875696558
80,100000,100000,0.40,2.64,200000,35616,10.455469451931716,4.406392605036096
