Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,10000,10000,0.80,0.80,20000,184,6.630434782608695,4.244488271187476
10,10000,10000,0.22,2.01,20000,697,7.33715925394548,4.523528460688538
20,10000,10000,0.23,3.15,20000,1341,7.33855331841909,4.464143780905284
30,10000,10000,0.20,2.85,20000,1991,7.41687594173782,4.488398947255852
40,10000,10000,0.20,2.87,20000,2568,7.321261682242991,4.41797330934843
50,10000,10000,0.19,2.90,20000,833,7.6722689075630255,4.556210023007681
60,10000,10000,0.21,2.73,20000,3574,7.267487409065473,4.339377107963757
70,10000,10000,0.20,3.05,20000,4084,7.226493633692458,4.372097011441021
80,10000,10000,0.22,2.40,20000,4578,7.2435561380515505,4.393657287757189
90,10000,10000,0.21,3.09,20000,4528,7.214222614840989,4.384396194432173
100,10000,10000,0.20,3.05,20000,1642,7.681485992691839,4.465619028243454
110,10000,10000,0.20,3.08,20000,4524,7.230769230769231,4.397079531530622
120,10000,10000,0.21,2.67,20000,4525,7.363977900552486,4.424919596890506
130,10000,10000,0.22,3.33,20000,4605,7.35157437567861,4.444312277196635
140,10000,10000,0.22,3.33,20000,4624,7.327205882352941,4.450655686211334
150,10000,10000,0.23,3.49,20000,2306,7.6183868169991324,4.450946444429024
160,10000,10000,0.23,3.48,20000,4717,7.273478906084375,4.369374784503338
170,10000,10000,0.22,3.38,20000,4744,7.328836424957841,4.365086193624424
180,10000,10000,0.22,3.30,20000,4735,7.390918690601901,4.398875723007781
190,10000,10000,0.21,3.16,20000,4692,7.313725490196078,4.411381282251819
200,10000,10000,0.20,3.12,20000,2941,7.484189051343081,4.447597944946653
210,10000,10000,0.20,2.97,20000,4729,7.281877775428209,4.447171978369328
220,10000,10000,0.21,3.17,20000,4749,7.323015371657191,4.442426191569148
230,10000,10000,0.22,3.43,20000,4755,7.349947423764458,4.380937583630371
240,10000,10000,0.22,3.39,20000,4776,7.358458961474037,4.409231587860129
250,10000,10000,0.21,3.30,20000,1250,8.0936,4.434926594558165
260,10000,10000,0.22,3.43,20000,4701,7.416081684747926,4.391242353764637
270,10000,10000,0.22,3.39,20000,4728,7.415609137055838,4.437811074695632
280,10000,10000,0.22,3.41,20000,4713,7.394440908126459,4.39351791281323
290,10000,10000,0.22,3.38,20000,4727,7.36386714618151,4.406506281713956
300,10000,10000,0.22,3.33,20000,3987,7.55430147980938,4.42445065573376
310,10000,10000,0.22,3.29,20000,4737,7.446485117162761,4.430408874950485
320,10000,10000,0.22,3.41,20000,4739,7.480692129141169,4.418030312060983
330,10000,10000,0.22,3.36,20000,4723,7.472369256828287,4.43411804480245
340,10000,10000,0.23,3.50,20000,4698,7.470200085142614,4.471762896745464
350,10000,10000,0.22,3.36,20000,4354,7.43706936150666,4.416186238950369
360,10000,10000,0.23,3.42,20000,4749,7.433775531690882,4.437965714250013
370,10000,10000,0.22,3.32,20000,4696,7.387989778534924,4.392196648615415
380,10000,10000,0.22,3.33,20000,4709,7.399872584412827,4.377280687819269
390,10000,10000,0.22,3.33,20000,4746,7.4319426885798565,4.451080959117433
400,10000,10000,0.22,3.24,20000,4689,7.447216890595009,4.3752909747320015
410,10000,10000,0.21,3.05,20000,4695,7.407667731629393,4.370801265064821
420,10000,10000,0.20,3.00,20000,4707,7.394306352241343,4.423168713053958
430,10000,10000,0.21,3.18,20000,4681,7.40781884212775,4.432650656672358
440,10000,10000,0.20,3.06,20000,4726,7.490689801100296,4.3960321298913065
450,10000,10000,0.21,2.99,20000,4635,7.492340884573895,4.416502924228134
460,10000,10000,0.21,3.01,20000,4710,7.4454352441613585,4.384364700171884
470,10000,10000,0.21,3.10,20000,4711,7.456803226491191,4.4087579182170815
480,10000,10000,0.21,3.00,20000,4728,7.472927241962775,4.386801913892
490,10000,10000,0.21,3.04,20000,4708,7.472387425658454,4.378894918408756
500,10000,10000,0.21,3.02,20000,2135,8.013583138173303,4.400445475073743
1,100000,100000,6.70,6.70,200000,315,7.155555555555556,4.2611329560758815
10,100000,100000,2.07,19.31,200000,2040,7.081862745098039,4.311744111580738
20,100000,100000,2.01,29.96,200000,3793,7.119430529923544,4.377520309924782
30,100000,100000,1.97,30.40,200000,5844,7.049623545516769,4.270135760921867
40,100000,100000,2.02,30.01,200000,7596,7.089389152185361,4.335263564447717
50,100000,100000,1.95,30.01,200000,3305,7.322239031770045,4.372480783898127
60,100000,100000,1.97,28.73,200000,11266,7.087342446298598,4.328910184454344
70,100000,100000,2.01,28.95,200000,13124,7.1436299908564465,4.330426242300959
80,100000,100000,1.98,28.87,200000,15121,7.09139607168838,4.32124145207119
90,100000,100000,1.96,27.82,200000,17011,7.0900005878549175,4.313720430961635
100,100000,100000,1.94,29.72,200000,6740,7.387091988130564,4.490068792648905
110,100000,100000,2.00,28.05,200000,20797,7.116747607828052,4.334619651701628
120,100000,100000,2.02,27.88,200000,22613,7.066554636713395,4.318498193110039
130,100000,100000,1.98,26.99,200000,24077,7.10790380861403,4.319787144020753
140,100000,100000,2.01,27.27,200000,26179,7.094770617670652,4.306518618207496
150,100000,100000,1.94,28.81,200000,10129,7.374074439727515,4.422869261769046
160,100000,100000,2.00,26.51,200000,29035,7.079765799896676,4.317029682340187
170,100000,100000,1.98,25.66,200000,29675,7.140084245998315,4.326651365330487
180,100000,100000,2.00,26.39,200000,30099,7.1129273397787305,4.321869431717331
190,100000,100000,2.04,26.30,200000,30686,7.115231701753243,4.334861358601027
200,100000,100000,1.98,28.86,200000,13302,7.31957600360848,4.4304046381113675
210,100000,100000,2.03,26.04,200000,31742,7.170688677462038,4.339645841639554
220,100000,100000,2.00,25.72,200000,32143,7.124599446224684,4.35433557424467
230,100000,100000,2.03,26.03,200000,32724,7.0935093509350935,4.312694003281065
240,100000,100000,2.04,25.89,200000,32964,7.159932047081665,4.34332935107252
250,100000,100000,1.96,30.90,200000,4393,7.763487366264512,4.460443001534006
260,100000,100000,2.04,25.80,200000,34602,7.168140569909254,4.382606685085203
270,100000,100000,2.04,25.80,200000,35078,7.194936997548321,4.37303593685628
280,100000,100000,2.06,25.75,200000,35569,7.154122972251118,4.35712190540156
290,100000,100000,2.02,25.36,200000,35871,7.157453095815561,4.3705706158441275
