Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,10000,10000,0.03,0.03,20000,3630,10.560330578512398,4.411284897358314
10,10000,10000,0.04,0.05,20000,3455,10.53053545586107,4.4110762476122085
20,10000,10000,0.04,0.02,20000,3517,10.572078475973841,4.3878704108505415
30,10000,10000,0.04,0.03,20000,3592,10.526726057906458,4.326851855347414
40,10000,10000,0.05,0.03,20000,3522,10.414537194775695,4.440485800277639
50,10000,10000,0.05,0.03,20000,3593,10.550793209017534,4.478449394078418
60,10000,10000,0.05,0.03,20000,3504,10.489155251141552,4.448185146655612
70,10000,10000,0.05,0.03,20000,3573,10.547719003638399,4.395072380401677
80,10000,10000,0.05,0.06,20000,3615,10.436791147994468,4.40264883471842
90,10000,10000,0.04,0.02,20000,3578,10.545835662381219,4.404834528278887
100,10000,10000,0.05,0.05,20000,3563,10.394330620263823,4.350678259013844
110,10000,10000,0.05,0.05,20000,3566,10.556365675827257,4.369349141602516
120,10000,10000,0.05,0.05,20000,3601,10.653707303526797,4.317315685041458
130,10000,10000,0.05,0.05,20000,3546,10.437112239142696,4.417891436799054
140,10000,10000,0.05,0.05,20000,3578,10.512576858580212,4.381829396788093
150,10000,10000,0.05,0.05,20000,3594,10.55870895937674,4.39023637802479
160,10000,10000,0.05,0.05,20000,3533,10.585055193886216,4.367584020894029
170,10000,10000,0.05,0.05,20000,3556,10.520247469066367,4.4702341752416626
180,10000,10000,0.05,0.06,20000,3556,10.53177727784027,4.3474100852572395
190,10000,10000,0.05,0.03,20000,3520,10.409375,4.446681078395235
200,10000,10000,0.05,0.06,20000,3534,10.56649688737974,4.502471982965797
210,10000,10000,0.06,0.05,20000,3570,10.621848739495798,4.416324432165589
220,10000,10000,0.06,0.06,20000,3534,10.545274476513866,4.374237423613697
230,10000,10000,0.06,0.06,20000,3541,10.57610844394239,4.388825653204428
240,10000,10000,0.06,0.06,20000,3471,10.566119273984443,4.411034618472876
250,10000,10000,0.06,0.05,20000,3590,10.573259052924792,4.371002783105886
