Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,10000,10000,0.32,0.33,20000,189,6.751322751322752,4.273441092718731
10,10000,10000,0.07,0.70,20000,690,7.327536231884058,4.616493559939308
20,10000,10000,0.08,0.94,20000,1402,7.432952924393724,4.462245266205059
30,10000,10000,0.09,0.84,20000,2002,7.281718281718281,4.425128762225378
40,10000,10000,0.08,0.72,20000,2630,7.379467680608365,4.428429681779266
50,10000,10000,0.07,0.73,20000,861,7.839721254355401,4.509148521320494
60,10000,10000,0.07,0.80,20000,3719,7.329658510352245,4.433594629770121
70,10000,10000,0.09,0.89,20000,4227,7.267802223799385,4.457583866172456
80,10000,10000,0.08,0.89,20000,4726,7.275497249259416,4.445491208036877
90,10000,10000,0.08,0.88,20000,4523,7.238558478885695,4.324610343387288
100,10000,10000,0.07,0.64,20000,1646,7.6561360874848114,4.45807031090476
110,10000,10000,0.08,0.83,20000,4580,7.296724890829695,4.382003510492307
120,10000,10000,0.07,0.92,20000,4528,7.26214664310954,4.377024778318376
130,10000,10000,0.08,0.94,20000,4609,7.317205467563463,4.414362744371345
140,10000,10000,0.08,0.73,20000,4657,7.278290745114881,4.418927366561641
150,10000,10000,0.07,0.73,20000,2318,7.542709232096635,4.506135068158891
160,10000,10000,0.08,0.80,20000,4766,7.393831305077633,4.494972792711082
170,10000,10000,0.08,0.84,20000,4767,7.288441367736522,4.432985718837401
180,10000,10000,0.08,0.84,20000,4735,7.360506863780359,4.376349204320819
190,10000,10000,0.08,0.61,20000,4708,7.354715378079864,4.403670594567827
200,10000,10000,0.07,0.88,20000,2943,7.560652395514781,4.456257813533685
210,10000,10000,0.08,0.89,20000,4705,7.332412327311371,4.426701485014891
220,10000,10000,0.08,0.88,20000,4712,7.321095076400679,4.415464207387194
230,10000,10000,0.08,0.91,20000,4763,7.4692420743229055,4.447374017294201
240,10000,10000,0.08,0.75,20000,4804,7.271856786011657,4.367868478358371
250,10000,10000,0.08,0.83,20000,1219,8.153404429860542,4.565551867178988
260,10000,10000,0.08,0.81,20000,4711,7.345574188070473,4.378275970256359
270,10000,10000,0.08,0.84,20000,4766,7.387536718422157,4.418961805423422
280,10000,10000,0.08,0.92,20000,4662,7.318318318318318,4.40659371206768
290,10000,10000,0.08,0.91,20000,4740,7.389873417721519,4.401401921437616
300,10000,10000,0.08,0.86,20000,3972,7.486404833836858,4.427947058185654
310,10000,10000,0.08,0.83,20000,4785,7.379519331243469,4.402672704485571
320,10000,10000,0.08,0.73,20000,4754,7.451830037862853,4.427062051648466
330,10000,10000,0.08,0.94,20000,4800,7.450833333333334,4.437625331217111
340,10000,10000,0.08,0.92,20000,4707,7.407053324835352,4.396906289559775
350,10000,10000,0.08,0.92,20000,4373,7.626572147267322,4.44147652302639
360,10000,10000,0.08,0.91,20000,4727,7.405754178125661,4.3834838782873415
370,10000,10000,0.11,0.88,20000,4715,7.470413573700954,4.346291136924616
380,10000,10000,0.08,0.92,20000,4717,7.378630485478058,4.343640266166265
390,10000,10000,0.08,0.91,20000,4803,7.43139704351447,4.371353905825832
400,10000,10000,0.08,0.80,20000,4760,7.405672268907563,4.398409587844882
410,10000,10000,0.09,0.89,20000,4748,7.471145745577085,4.4082063142058345
420,10000,10000,0.08,0.81,20000,4755,7.391167192429022,4.379178490732978
430,10000,10000,0.08,1.02,20000,4773,7.4728682170542635,4.40380408867218
440,10000,10000,0.09,0.94,20000,4733,7.520600042256497,4.414713581314929
450,10000,10000,0.08,0.84,20000,4686,7.610328638497653,4.445146768771809
460,10000,10000,0.08,0.91,20000,4697,7.462422823078561,4.449882222573662
470,10000,10000,0.08,1.11,20000,4712,7.368845500848896,4.39676620613762
480,10000,10000,0.09,0.89,20000,4781,7.36686885588789,4.423229665646702
490,10000,10000,0.09,0.95,20000,4725,7.522116402116402,4.390037091396805
500,10000,10000,0.09,0.94,20000,2127,8.00423131170663,4.507074084220936
1,100000,100000,3.27,3.27,200000,315,7.247619047619048,4.312138737489296
10,100000,100000,0.69,6.50,200000,1979,7.020717534108136,4.339961196323338
20,100000,100000,0.70,6.98,200000,3987,7.131427138199148,4.305713662145599
30,100000,100000,0.68,7.42,200000,5880,7.09421768707483,4.335398495628441
40,100000,100000,0.70,7.47,200000,7992,7.0575575575575575,4.332760073154686
50,100000,100000,0.66,7.25,200000,3419,7.297162913132495,4.437396352567221
60,100000,100000,0.70,7.64,200000,11769,7.104171977228312,4.351096788872723
