Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,10000,10000,0.06,0.06,20000,3562,10.634475014037058,4.361123807189304
10,10000,10000,0.03,0.16,20000,3580,10.475698324022346,4.460402471518952
20,10000,10000,0.04,0.22,20000,3553,10.546017450042218,4.413544052110574
30,10000,10000,0.05,0.47,20000,3605,10.497642163661581,4.439794254064203
40,10000,10000,0.05,0.75,20000,3577,10.48700027956388,4.349896676271667
50,10000,10000,0.05,0.75,20000,3504,10.504280821917808,4.3737707228648075
60,10000,10000,0.06,0.75,20000,3564,10.617283950617283,4.468493732337171
70,10000,10000,0.05,0.75,20000,3551,10.466629118558153,4.4155868463136105
80,10000,10000,0.05,0.80,20000,3593,10.597829112162538,4.4229314577713446
90,10000,10000,0.05,0.89,20000,3549,10.391941391941392,4.416257295678934
100,10000,10000,0.05,0.61,20000,3573,10.583263364119787,4.320919682922122
110,10000,10000,0.03,0.38,20000,3475,10.568345323741006,4.386761039716808
120,10000,10000,0.05,0.69,20000,3550,10.494366197183098,4.453807477798497
130,10000,10000,0.05,0.61,20000,3562,10.449466591802357,4.40677416248015
140,10000,10000,0.04,0.31,20000,3580,10.609776536312848,4.43555756895741
150,10000,10000,0.04,0.25,20000,3560,10.570224719101123,4.393679968319687
160,10000,10000,0.04,0.23,20000,3510,10.442735042735043,4.422667258324326
170,10000,10000,0.04,0.22,20000,3454,10.44267515923567,4.465919784937183
180,10000,10000,0.04,0.22,20000,3479,10.439494107502156,4.5066883242567695
190,10000,10000,0.05,0.23,20000,3566,10.454010095344925,4.394499866414252
200,10000,10000,0.05,0.14,20000,3513,10.47708511243951,4.505451182962594
210,10000,10000,0.05,0.23,20000,3576,10.628914988814318,4.387476461878776
220,10000,10000,0.05,0.28,20000,3494,10.563251287922153,4.3425972650481866
230,10000,10000,0.05,0.22,20000,3551,10.450014080540694,4.441129075425573
