Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,10000,10000,0.49,0.48,20000,217,7.0691244239631335,4.245892968527086
10,10000,10000,0.19,1.66,20000,707,7.383309759547383,4.369791201986155
20,10000,10000,0.22,3.09,20000,1418,7.385754583921016,4.436010357487878
30,10000,10000,0.23,3.23,20000,2036,7.411591355599215,4.4330169783371
40,10000,10000,0.23,3.25,20000,2620,7.341221374045801,4.392231161366291
50,10000,10000,0.22,3.28,20000,894,7.848993288590604,4.518050657103844
60,10000,10000,0.22,3.47,20000,3644,7.266465422612514,4.4121417480638305
70,10000,10000,0.23,3.47,20000,4130,7.20726392251816,4.424895500401188
80,10000,10000,0.23,3.38,20000,4601,7.2519017604868505,4.379126522482779
90,10000,10000,0.23,3.55,20000,4608,7.256944444444445,4.434502180546579
100,10000,10000,0.22,3.42,20000,1656,7.805555555555555,4.3960562447359
110,10000,10000,0.22,3.42,20000,4600,7.28695652173913,4.410034649299757
120,10000,10000,0.23,3.53,20000,4593,7.354670150228609,4.473334718405439
130,10000,10000,0.23,3.39,20000,4614,7.29172084958821,4.44513592744872
140,10000,10000,0.23,3.45,20000,4656,7.249355670103093,4.415028967940903
150,10000,10000,0.22,3.39,20000,2349,7.589186888037463,4.442351031390604
160,10000,10000,0.23,3.45,20000,4756,7.29121110176619,4.392223139368606
170,10000,10000,0.23,3.52,20000,4767,7.310887350534927,4.365855407867517
180,10000,10000,0.23,3.47,20000,4761,7.34425540852762,4.420558478953222
190,10000,10000,0.23,3.56,20000,4750,7.309263157894737,4.394877577361426
200,10000,10000,0.23,3.48,20000,2952,7.565379403794038,4.475445330143879
210,10000,10000,0.23,3.62,20000,4748,7.330244313395114,4.374846638296618
220,10000,10000,0.23,3.47,20000,4725,7.326137566137566,4.4145960565639015
230,10000,10000,0.23,3.55,20000,4757,7.332562539415598,4.398224995178116
240,10000,10000,0.23,3.02,20000,4776,7.398031825795645,4.454031446395395
250,10000,10000,0.23,3.38,20000,1185,8.061603375527426,4.483312051825375
260,10000,10000,0.23,3.67,20000,4790,7.390605427974948,4.3762341812997025
270,10000,10000,0.23,3.38,20000,4757,7.369560647466891,4.372151538936713
280,10000,10000,0.23,3.69,20000,4690,7.326226012793177,4.39766883612702
290,10000,10000,0.23,3.55,20000,4777,7.425371572116391,4.400815673725489
300,10000,10000,0.23,3.50,20000,3924,7.347349643221203,4.3582135791983765
310,10000,10000,0.23,3.61,20000,4769,7.522331725728664,4.416067361097854
320,10000,10000,0.23,3.45,20000,4772,7.286253143336127,4.3999623244467205
330,10000,10000,0.23,3.69,20000,4796,7.415763135946622,4.414710651560479
340,10000,10000,0.23,3.61,20000,4760,7.347899159663865,4.37407881195135
350,10000,10000,0.23,3.44,20000,4359,7.31452167928424,4.336885956782159
360,10000,10000,0.23,3.56,20000,4699,7.3566716322621835,4.403504408277378
370,10000,10000,0.23,3.38,20000,4694,7.415850021303792,4.412471447399243
380,10000,10000,0.23,3.47,20000,4716,7.4009754028838,4.408965018828427
390,10000,10000,0.23,3.50,20000,4699,7.466056607788891,4.440451655452983
400,10000,10000,0.23,3.44,20000,4684,7.472459436379163,4.3823127716966574
410,10000,10000,0.23,3.50,20000,4752,7.391414141414141,4.445369166836553
420,10000,10000,0.23,3.56,20000,4697,7.399616776665957,4.398847013595724
430,10000,10000,0.23,3.55,20000,4742,7.490510333192746,4.381632988878551
440,10000,10000,0.23,3.48,20000,4704,7.438562925170068,4.344319483717235
450,10000,10000,0.23,3.44,20000,4674,7.477107402652974,4.380081818041511
460,10000,10000,0.23,3.62,20000,4725,7.459047619047619,4.397562197870744
470,10000,10000,0.23,3.52,20000,4750,7.436842105263158,4.388929022451187
480,10000,10000,0.23,3.45,20000,4752,7.456018518518518,4.4041944347764685
