Threads,Buyers,Sellers,WallTime,CPUtime,NumberOfTrades,QuantityTraded,AveragePrice,StdDev
1,10000,10000,0.32,0.32,20000,195,6.517948717948718,3.7750450120120984
2,10000,10000,0.18,0.34,20000,363,6.96969696969697,4.189129139402724
5,10000,10000,0.15,0.60,20000,345,7.246376811594203,4.409311622635357
10,10000,10000,0.12,0.74,20000,657,7.474885844748859,4.4261962032807025
20,10000,10000,0.12,0.78,20000,1314,7.32648401826484,4.474258979622034
30,10000,10000,0.11,0.82,20000,3540,7.226271186440678,4.402205924841298
40,10000,10000,0.13,0.77,20000,2421,7.37546468401487,4.422598923776732
50,10000,10000,0.12,0.76,20000,879,7.737201365187714,4.391217876241947
60,10000,10000,0.11,0.79,20000,2650,7.416603773584906,4.473573654638298
70,10000,10000,0.14,0.77,20000,2704,7.4892751479289945,4.398217485238997
80,10000,10000,0.13,0.79,20000,4489,7.206059255959011,4.402296313471393
90,10000,10000,0.12,0.80,20000,4631,7.307277045994386,4.415898646488426
100,10000,10000,0.11,0.78,20000,1656,7.767512077294686,4.386706928160356
110,10000,10000,0.11,0.79,20000,2803,7.427755975740278,4.429321248052189
120,10000,10000,0.13,0.79,20000,4683,7.366218236173393,4.397800888372785
130,10000,10000,0.12,0.78,20000,1690,7.5698224852071005,4.433326941688807
140,10000,10000,0.11,0.81,20000,4630,7.3254859611231105,4.393245189591759
150,10000,10000,0.11,0.80,20000,2854,7.4264190609670635,4.419551881955359
160,10000,10000,0.11,0.79,20000,2853,7.461969856291623,4.4233032233640905
170,10000,10000,0.12,0.79,20000,2892,7.5103734439834025,4.453094983036188
180,10000,10000,0.12,0.81,20000,4707,7.381771829190567,4.443271271077876
190,10000,10000,0.12,0.77,20000,1749,7.72041166380789,4.4860756667319155
200,10000,10000,0.13,0.79,20000,2909,7.465795806118941,4.384928180182735
210,10000,10000,0.12,0.81,20000,4750,7.364421052631579,4.4745881103393055
220,10000,10000,0.12,0.79,20000,4721,7.38169879262868,4.432931911707101
230,10000,10000,0.11,0.80,20000,4689,7.318831307314992,4.346705119000511
240,10000,10000,0.11,0.81,20000,4699,7.323473079378592,4.368613648583318
250,10000,10000,0.11,0.78,20000,1157,8.238547968885047,4.348781872218323
260,10000,10000,0.12,0.79,20000,2942,7.529911624745071,4.484923847369388
270,10000,10000,0.12,0.79,20000,4734,7.337135614702155,4.437178738475667
280,10000,10000,0.11,0.80,20000,4713,7.289412263950775,4.394568574098677
290,10000,10000,0.11,0.79,20000,2988,7.6291834002677374,4.495995138163435
300,10000,10000,0.11,0.81,20000,4731,7.415345592897907,4.429882333228338
310,10000,10000,0.11,0.78,20000,735,8.391836734693877,4.33337454014631
320,10000,10000,0.12,0.80,20000,4728,7.439509306260575,4.418471422393956
330,10000,10000,0.12,0.74,20000,3050,7.587213114754098,4.476728255239669
340,10000,10000,0.11,0.82,20000,4672,7.377354452054795,4.433811721791069
350,10000,10000,0.12,0.77,20000,1888,7.788665254237288,4.424762751099675
360,10000,10000,0.11,0.80,20000,4623,7.371187540558079,4.388062614077339
370,10000,10000,0.12,0.78,20000,4703,7.436529874548161,4.450321371301056
380,10000,10000,0.11,0.78,20000,2998,7.659439626417612,4.522117368927504
390,10000,10000,0.12,0.81,20000,4608,7.456597222222222,4.405171878142894
400,10000,10000,0.11,0.78,20000,4719,7.462598008052553,4.417755529050899
410,10000,10000,0.11,0.76,20000,1344,8.182291666666666,4.394738828227409
420,10000,10000,0.12,0.79,20000,4637,7.453525986629286,4.381879771291252
430,10000,10000,0.13,0.79,20000,4680,7.437820512820513,4.4070487403662595
440,10000,10000,0.12,0.79,20000,3001,7.7350883038987,4.432094884724359
450,10000,10000,0.12,0.80,20000,3023,7.631491895468078,4.348846883515737
460,10000,10000,0.12,0.79,20000,4612,7.413920208152645,4.391560149547197
470,10000,10000,0.12,0.79,20000,4696,7.548126064735945,4.419559669212228
480,10000,10000,0.11,0.79,20000,2019,8.074789499752352,4.5016078388235545
490,10000,10000,0.11,0.79,20000,2065,7.9753026634382564,4.4871554647291765
500,10000,10000,0.12,0.77,20000,2126,8.043744120413923,4.487102132940146
1,100000,100000,3.51,3.50,200000,290,6.768965517241379,4.24896514559668
2,100000,100000,2.83,5.54,200000,586,7.066552901023891,4.269230887490272
5,100000,100000,1.94,8.41,200000,927,7.202804746494067,4.361112355832332
10,100000,100000,1.72,11.66,200000,1796,7.091314031180401,4.272150176468383
20,100000,100000,1.75,11.97,200000,3610,7.186149584487534,4.39100656113168
30,100000,100000,1.85,11.83,200000,8322,7.035928863254026,4.199882928961184
40,100000,100000,1.65,11.85,200000,6763,7.12435309773769,4.298882788990833
50,100000,100000,1.76,11.83,200000,3282,7.349786715417428,4.347397069197069
60,100000,100000,1.68,11.96,200000,12425,7.128531187122737,4.286031833093272
70,100000,100000,1.66,11.66,200000,9534,7.1482064191315295,4.393853219740392
80,100000,100000,1.71,11.94,200000,14619,7.0886517545659755,4.305582729549649
90,100000,100000,1.86,12.12,200000,20976,7.088720442410374,4.298514815481246
100,100000,100000,1.62,11.60,200000,6733,7.3582355562156545,4.4280062589560005
110,100000,100000,1.66,11.72,200000,23370,7.115361574668378,4.282869961082509
120,100000,100000,1.77,11.96,200000,25225,7.1116749256689795,4.296516540421077
130,100000,100000,1.71,12.03,200000,26111,7.102370648385738,4.297903986481681
140,100000,100000,1.58,11.66,200000,19041,7.14899427551074,4.34573527566443
150,100000,100000,1.65,11.78,200000,19518,7.206629777641152,4.3871400832076946
160,100000,100000,1.67,11.99,200000,28319,7.075708888025707,4.317080100824791
170,100000,100000,1.63,11.35,200000,12665,7.284326885116463,4.445883796223681
180,100000,100000,1.65,11.81,200000,30121,7.133162909597955,4.337553684332015
190,100000,100000,1.77,11.75,200000,21193,7.18661822299816,4.40345087641398
200,100000,100000,1.68,11.77,200000,13130,7.312414318354913,4.428961083646604
210,100000,100000,1.57,11.55,200000,13316,7.310078101531992,4.457204082463364
220,100000,100000,1.70,11.82,200000,21970,7.2253527537551205,4.388498941592721
230,100000,100000,1.73,11.86,200000,22524,7.259145800035518,4.4231933123599845
240,100000,100000,1.54,11.35,200000,2453,7.846718304117407,4.4180209930746175
250,100000,100000,1.81,10.99,200000,4358,7.764111977971546,4.488311576858325
260,100000,100000,1.81,11.09,200000,1054,8.224857685009487,4.491176188925806
270,100000,100000,1.87,11.47,200000,23272,7.261687865245789,4.439124676455244
280,100000,100000,1.80,11.71,200000,35796,7.164124483182478,4.347686987224656
290,100000,100000,1.60,11.50,200000,7910,7.591908975979773,4.493637515750071
300,100000,100000,1.79,11.79,200000,37005,7.190271584920956,4.365748314349844
310,100000,100000,1.73,11.84,200000,23988,7.249374687343672,4.4065891712767655
320,100000,100000,1.68,11.30,200000,8026,7.6233491153750315,4.457293150277573
330,100000,100000,1.75,11.79,200000,38014,7.22365444309991,4.3821973652556645
340,100000,100000,1.73,11.76,200000,24373,7.249825626718089,4.3952690973549275
350,100000,100000,1.74,11.63,200000,38505,7.157174392935982,4.358591430091356
360,100000,100000,1.66,11.78,200000,38804,7.166838470260798,4.357452809683982
370,100000,100000,1.75,11.74,200000,24985,7.313868320992595,4.427072297276298
380,100000,100000,1.78,11.84,200000,39510,7.190432801822324,4.364615298484615
390,100000,100000,1.53,10.83,200000,1062,8.419962335216573,4.30118419554094
400,100000,100000,1.59,11.25,200000,25265,7.296259647734019,4.424197492630312
410,100000,100000,1.73,11.48,200000,40009,7.202554425254318,4.380836007957584
420,100000,100000,1.67,11.28,200000,25430,7.3136846244593,4.461962482610134
430,100000,100000,1.53,11.12,200000,8358,7.7537688442211055,4.467280383715905
440,100000,100000,1.61,11.63,200000,40569,7.175478813872662,4.366751785671154
450,100000,100000,1.63,11.18,200000,25836,7.309722867316922,4.430280928836044
460,100000,100000,1.59,11.34,200000,41335,7.19409701221725,4.381545686840295
470,100000,100000,1.61,11.28,200000,14914,7.53929194045863,4.4423445001344835
480,100000,100000,1.65,11.21,200000,4914,7.849206349206349,4.430416441401665
490,100000,100000,1.62,11.08,200000,15146,7.524098771952991,4.4833701299250395
500,100000,100000,1.67,11.11,200000,8575,7.663323615160349,4.441478781012499
1,1000000,1000000,31.95,31.88,2000000,338,7.230769230769231,4.208229890708964
2,1000000,1000000,19.56,39.00,2000000,619,7.18578352180937,4.2672901474181835
5,1000000,1000000,15.45,65.70,2000000,1440,7.247916666666667,4.247428503002345
10,1000000,1000000,15.14,117.93,2000000,2790,7.055555555555555,4.145714020918149
20,1000000,1000000,15.24,119.74,2000000,5518,7.096955418629938,4.257080569346185
30,1000000,1000000,15.38,120.75,2000000,9512,7.05203952901598,4.245232600842717
40,1000000,1000000,15.30,120.51,2000000,10660,7.037617260787992,4.210542964885262
50,1000000,1000000,15.14,119.34,2000000,8883,7.117302713047394,4.32214089178344
60,1000000,1000000,15.26,120.76,2000000,19423,6.996498996035628,4.184363173400492
70,1000000,1000000,15.30,120.63,2000000,23575,7.061124072110286,4.186006293562722
80,1000000,1000000,15.32,120.75,2000000,23665,7.0667652651595185,4.219802389240082
90,1000000,1000000,15.29,121.15,2000000,30600,7.038137254901961,4.217541494462074
100,1000000,1000000,15.16,120.01,2000000,18717,7.103809371159908,4.327549203778752
110,1000000,1000000,15.31,121.17,2000000,34747,7.0191095634155465,4.200773814472565
120,1000000,1000000,15.36,121.49,2000000,40693,7.0083060968716975,4.213652875227857
130,1000000,1000000,15.28,120.94,2000000,35679,7.011435298074497,4.227927002179476
140,1000000,1000000,15.31,121.44,2000000,43517,7.099570282877956,4.233910032375019
150,1000000,1000000,15.48,121.58,2000000,45709,7.095407906539194,4.2258505899028185
160,1000000,1000000,15.33,121.60,2000000,47348,7.085684717411506,4.220863412189123
170,1000000,1000000,15.33,121.49,2000000,50205,7.0807887660591575,4.254577836919899
180,1000000,1000000,15.40,121.59,2000000,58116,7.116319085965999,4.217447735827586
190,1000000,1000000,15.35,121.72,2000000,60451,7.074275032671089,4.230239919718963
200,1000000,1000000,15.22,120.62,2000000,37435,7.086042473620943,4.305448615528964
210,1000000,1000000,15.32,121.57,2000000,67716,7.075609900171304,4.2286507044269515
220,1000000,1000000,15.68,121.90,2000000,69771,7.040876581960987,4.213721077642634
230,1000000,1000000,16.08,122.45,2000000,73586,7.06134319028076,4.212222186483718
240,1000000,1000000,16.18,122.27,2000000,67029,7.078279550642259,4.247210113223046
250,1000000,1000000,15.41,119.37,2000000,16566,7.3097307738742,4.402725135016216
260,1000000,1000000,16.10,122.15,2000000,71733,7.023489886105419,4.241759027822431
270,1000000,1000000,15.47,122.04,2000000,83337,7.049329829487503,4.209031664234673
280,1000000,1000000,15.59,122.02,2000000,86810,7.058173021541297,4.237971026055937
290,1000000,1000000,16.04,121.12,2000000,44540,7.197440502918725,4.359333421084398
300,1000000,1000000,16.04,122.07,2000000,90918,7.096559537165358,4.241428914467612
310,1000000,1000000,15.29,121.19,2000000,93061,7.056683250771,4.237815488994778
320,1000000,1000000,15.36,121.35,2000000,95095,7.0513381355486615,4.214301335193537
330,1000000,1000000,15.34,121.03,2000000,85168,7.062112530527898,4.254487753066873
340,1000000,1000000,15.33,121.38,2000000,100579,7.072967518070373,4.260123904770297
350,1000000,1000000,15.37,121.32,2000000,103015,7.078901130903266,4.226417858371948
360,1000000,1000000,15.35,121.32,2000000,106056,7.071914837444369,4.242198957726261
370,1000000,1000000,15.28,121.11,2000000,93159,7.074635837653903,4.272314141445719
380,1000000,1000000,15.37,121.66,2000000,111835,7.02125452675817,4.237364674459169
390,1000000,1000000,15.22,120.35,2000000,73704,7.077824812764572,4.320871041222523
400,1000000,1000000,15.19,120.30,2000000,74578,7.097937729625358,4.33016404378419
